Token,SHAP_Value
scholar,0.5526489334588405
science,0.43193554218669306
marketing,0.15190094631287973
bitcoin,0.41577342060357597
cryptocurrency,0.4182888091471189
cryptocurrency,0.29250653348162814
pricing,0.29250653348162814
email,0.383234095026777
marketing,0.383234095026777
email,0.18630132270573085
photo,0.30598250682129824
beat,0.27398625429304957
top,0.2652837637833727
video,1.4725810837007884
beat,0.42587099584488897
administration,0.31355080712182826
movie,0.5853590939104834
video,0.23217914549877605
day,0.23217914549877605
database,0.2882323107974919
database,0.27054473629815384
video,0.07685212625733316
