Token,SHAP_Value
scholar,0.5377060719124529
science,1.0882666816733035
docker,0.34268215767338006
bitcoin,0.3512055480390093
cryptocurrency,0.3463150362508334
cryptocurrency,0.499871948275111
pricing,0.3848955215487675
organization,0.3216955469079039
email,0.3982229559890129
back,0.024273209261501998
email,0.27761247903402775
photo,0.30758994909404264
top,0.37559853307175217
video,1.189649462082798
understand,0.5318770953608691
back,1.0087919514098758
movie,0.439730558286783
video,0.29600182276749365
day,0.29600182276749365
video,0.10738778480661175
