Token,SHAP_Value,Base_Value,Model,Category
messaging,0.19821660386733128,0.22276168147072894,gating_fusion,Messaging
bulk,0.1104749062906194,0.22276168147072894,gating_fusion,Messaging
receiving,0.07437094176930259,0.22276168147072894,gating_fusion,Messaging
gateway,0.06259518275182926,0.22276168147072894,gating_fusion,Messaging
developer,0.024008780643634965,0.22276168147072894,gating_fusion,Messaging
integrate,0.024008780643634965,0.22276168147072894,gating_fusion,Messaging
sending,0.021612844353512628,0.22276168147072894,gating_fusion,Messaging
location,-0.019154040373541646,0.22276168147072894,gating_fusion,Messaging
enables,0.018444032084516948,0.22276168147072894,gating_fusion,Messaging
api,-0.017439621387893567,0.22276168147072894,gating_fusion,Messaging
functionality,0.009453267559729283,0.22276168147072894,gating_fusion,Messaging
custom,0.008990494785393821,0.22276168147072894,gating_fusion,Messaging
voice,0.008990494785393821,0.22276168147072894,gating_fusion,Messaging
geo,0.008990494785393821,0.22276168147072894,gating_fusion,Messaging
multi,0.008664875251270132,0.22276168147072894,gating_fusion,Messaging
