Token,SHAP_Value,Base_Value,Model,Category
storage,0.14799877464974998,0.0775376179067323,weighted_fusion,Storage
api,0.09080217829250614,0.0775376179067323,weighted_fusion,Storage
document,0.07509478818246862,0.0775376179067323,weighted_fusion,Storage
offer,0.056485971432266524,0.0775376179067323,weighted_fusion,Storage
nanosdk,0.024756553644692758,0.0775376179067323,weighted_fusion,Storage
service,0.01753545969768311,0.0775376179067323,weighted_fusion,Storage
delete,0.014651506990048802,0.0775376179067323,weighted_fusion,Storage
function,0.014288774862507125,0.0775376179067323,weighted_fusion,Storage
allow,0.014288774862507125,0.0775376179067323,weighted_fusion,Storage
retrieve,0.014288774862507125,0.0775376179067323,weighted_fusion,Storage
create,0.013781850484519964,0.0775376179067323,weighted_fusion,Storage
replace,0.013781850484519964,0.0775376179067323,weighted_fusion,Storage
exclusive,-0.00799300622307956,0.0775376179067323,weighted_fusion,Storage
applicable,-0.00799300622307956,0.0775376179067323,weighted_fusion,Storage
tax,-0.00799300622307956,0.0775376179067323,weighted_fusion,Storage
