Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
50,LogisticRegression,tfidf,0.7981,0.8068,0.7981,0.9208,0.9507
50,RandomForest,tfidf,0.7601,0.7657,0.7601,0.8893,0.9233
50,XGBoost,tfidf,0.7423,0.7536,0.7423,0.874,0.912
50,LogisticRegression,sbert,0.7868,0.7892,0.7868,0.92,0.9556
50,RandomForest,sbert,0.752,0.7504,0.752,0.8667,0.9055
50,XGBoost,sbert,0.7254,0.7289,0.7254,0.9015,0.9435
