Token,Score,Direction
messaging,0.13419414258155318,positive
bulk,0.11300751182487567,positive
sending,0.09471677616989023,positive
oventus,-0.08780292702406335,negative
voice,-0.08762580428781855,negative
device,-0.046821743376899094,negative
delivering,0.04112314127532098,positive
mass,0.03659847199685795,positive
receiving,0.03488490693670309,positive
service,-0.03385584458187779,negative
rest,-0.033804350097526026,negative
broadcast,0.03111977694521852,positive
multi,0.027399945271323244,positive
provides,0.025298896359569417,positive
mobile,0.024937960843342283,positive
