Token,SHAP_Value
problem,1.7273997068405151
product,-0.2894734740257263
sm,4.690291881561279
messaging,1.360388994216919
networking,6.147993564605713
community,2.0932765007019043
social,1.6158182621002197
feature,0.7895196676254272
allows,-0.6776800155639648
loyalty,1.6610883474349976
ecommerce,1.5641798973083496
commerce,1.0084315538406372
payment,-0.9758884906768799
price,0.7046065330505371
order,0.5222851634025574
product,0.41375303268432617
loyalty,1.6731961965560913
product,1.3675683736801147
commerce,1.1000276803970337
payment,-0.8857091069221497
order,0.7223168015480042
ecommerce,0.25909534096717834
