Token,Score,Direction
storage,0.08162358489062171,positive
document,0.05359614655026235,positive
api,0.0486594658868853,positive
offer,0.03675257239956409,positive
service,0.016970224605756812,positive
delete,0.01684357415069826,positive
credit,-0.015334295727067609,negative
create,0.01499792977119796,positive
replace,0.01499792977119796,positive
function,0.013181771209929138,positive
allow,0.013181771209929138,positive
retrieve,0.013181771209929138,positive
nanosdk,0.010769601666652306,positive
apis,-0.008450775669606022,negative
expire,-0.008450775669606022,negative
