Token,Score,Direction
messaging,0.08273335168778431,positive
bulk,0.08270362264011055,positive
receiving,0.08057066036417382,positive
gateway,0.04890286815643776,positive
api,-0.048491822388314176,negative
sending,0.03813179565622704,positive
multi,0.0371819302381482,positive
channel,0.0371819302381482,positive
mass,0.0371819302381482,positive
broadcast,0.0371819302381482,positive
service,0.03638277919235406,positive
custom,0.033830483531346545,positive
voice,0.033830483531346545,positive
geo,0.033830483531346545,positive
enables,0.02776604879181832,positive
