Fidelity,Jaccard,Stability,model
0.8446,0.1111,0.1494,BiLSTM_tfidf
0.834,0.1538,0.2021,BiLSTM_tfidf
0.7034,0.1538,0.1756,BiLSTM_tfidf
0.8175,0.1111,0.1382,BiLSTM_tfidf
0.8911,0.1538,0.1218,BiLSTM_tfidf
0.9046,0.4286,0.3848,BiLSTM_sbert
0.903,0.7647,0.7545,BiLSTM_sbert
0.7719,0.4286,0.4692,BiLSTM_sbert
0.8828,0.5,0.5317,BiLSTM_sbert
0.8222,0.5,0.4902,BiLSTM_sbert
