Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5,Training Time,Inference Time
50,BiLSTM,tfidf,0.7706,0.7784,0.7706,0.8861,0.9128,24.5967,2.0826
50,BiLSTM,sbert,0.748,0.7506,0.748,0.891,0.9402,17.7226,1.6736
